sentence 	 label
pawn c7 to g5	0
revert	1
king d1 to g6	0
what is the best move	2
revert	1
c2 to f4	0
king to g7	0
bishop d8 to f2	0
what should I do here	2
knight d1 to h2	0
king to e1	0
b3 to g3	0
a2 to a3	0
rook to a2	0
bishop h2 to a1	0
bishop to f3	0
queen to d5	0
pawn to c2	0
what should I do here	2
king to a6	0
what was the correct move	2
revert	1
bishop to f3	0
queen to e4	0
d3 to d8	0
pawn to d3	0
takeback	1
what is the correct move here	2
revert	1
rook b7 to h8	0
a4 to b4	0
what is the correct move	2
c2 to e1	0
what should I have done	2
bishop a7 to c5	0
rook g3 to a4	0
what should I have done	2
bishop d1 to c8	0
revert	1
what was the correct move	2
king to h2	0
undo	1
revert	1
king to g7	0
what is the best move	2
rook to f7	0
king to d3	0
pawn to c6	0
f1 to g4	0
what is a good move herewhat is the winning move here	2
what move should I have made	2
bishop b5 to c5	0
king b1 to e5	0
queen to d3	0
undo	1
queen e6 to d8	0
bishop f7 to e1	0
e7 to b1	0
correct move	2
king to a5	0
b2 to d1	0
revert	1
rook c3 to c6	0
takeback	1
what is the correct move	2
bishop f5 to f1	0
takeback	1
king b3 to g4	0
g4 to b6	0
what should I do here	2
revert	1
bishop c5 to c3	0
rook h5 to f1	0
undo	1
correct move	2
king to a1	0
rook to c5	0
knight h4 to f6	0
revert	1
pawn to g4	0
bishop a7 to h2	0
g5 to h3	0
g5 to c2	0
e6 to f2	0
best move	2
undo	1
pawn a5 to h1	0
king a6 to f3	0
